,NodeA,NodeB
157,15,3832
158,15,9098
159,15,5635
160,16,5931
161,16,5254
162,16,2616
163,16,8350
164,16,8772
165,16,9086
166,16,6308
167,16,6965
168,16,7126
169,16,856
170,17,8668
171,17,8136
172,17,9089
173,17,478
174,17,8111
175,17,8263
176,17,1084
177,17,988
178,17,4512
179,17,5051
180,18,5089
181,18,4784
182,18,4132
183,18,1326
184,18,7370
185,18,4890
186,18,2930
187,18,7132
188,18,4252
189,18,3655
190,19,9203
191,19,8440
192,19,4222
193,19,5170
194,19,7211
195,19,9074
196,19,5628
197,19,1638
198,19,151
199,19,8419
200,20,4667
201,20,7317
202,20,1681
203,20,3176
204,20,1933
205,20,2740
206,20,7316
207,20,1399
208,20,2844
209,20,3397
210,21,5587
211,21,2886
212,21,5139
213,21,3349
214,21,1325
215,21,9289
216,21,4429
217,21,9333
218,21,1613
219,21,496
220,22,4181
221,22,12
222,22,1334
223,22,8941
224,22,8169
225,22,704
226,22,3035
227,22,5273
228,22,6458
229,22,3438
230,23,5271
231,23,8838
232,23,8873
233,23,6651
234,23,7431
235,23,1533
236,23,643
237,23,7325
238,23,3961
239,23,144
240,24,9325
241,24,6309
242,24,8735
243,24,8862
244,24,8339
245,24,5361
246,24,7720
247,24,304
248,24,5336
249,24,4796
250,25,8491
251,25,7752
252,25,2122
253,25,5320
254,25,1028
255,25,8500
256,25,7911
257,25,1067
258,25,7883
259,25,2031
260,26,169
261,26,3897
262,26,5119
263,26,301
264,26,5277
265,26,2925
266,26,267
267,26,6691
268,26,5015
269,26,6147
270,27,7348
271,27,5032
272,27,3023
273,27,9235
274,27,8003
275,27,7765
276,27,7140
277,27,7005
278,27,8081
279,27,6947
280,28,342
281,28,3350
282,28,9295
283,28,3575
284,28,6914
285,28,6884
286,28,4785
287,28,9420
288,28,3433
289,28,3058
290,29,6437
291,29,9539
292,29,2883
293,29,6236
294,29,7189
295,29,1778
296,29,5062
297,29,8311
298,29,5674
299,29,8707
300,30,3862
301,30,8727
302,30,1517
303,30,8753
304,30,1744
305,30,302
306,30,6239
307,30,2464
308,30,6459
309,30,497
310,31,3534
311,31,7709
312,31,4153
313,31,7847
314,31,1585
315,31,4828
316,31,2751
317,31,8647
318,31,1831
319,31,6812
320,32,4439
321,32,2915
322,32,1186
323,32,8369
324,32,6143
325,32,4424
326,32,3412
327,32,4488
328,32,5422
329,32,9286
330,33,1113
331,33,550
332,33,7126
333,33,1456
334,33,4193
335,33,9508
336,33,1796
337,33,6040
338,33,5931
339,33,7301
340,34,3059
341,34,9121
342,34,7720
343,34,8203
344,34,4567
345,34,7648
346,34,1815
347,34,980
348,34,8586
349,34,6075
350,35,6087
351,35,7395
352,35,6384
353,35,8480
354,35,3490
355,35,6434
356,35,5535
357,35,3993
358,35,2159
359,35,8601
360,36,7375
361,36,1444
362,36,6677
363,36,6908
364,36,7554
365,36,4274
366,36,6807
367,36,7567
368,36,2179
369,36,1123
370,37,1112
371,37,3196
372,37,1486
373,37,1372
374,37,1998
375,37,1263
376,37,6397
377,37,8419
378,37,2931
379,37,4929
380,38,7679
381,38,232
382,38,3740
383,38,8481
384,38,4423
385,38,1134
386,38,6149
387,38,6512
388,38,3208
389,38,4036
390,39,7964
391,39,1613
392,39,3879
393,39,497
394,39,3692
395,39,3353
396,39,4462
397,39,1517
398,39,2300
399,39,9317
400,40,4044
401,40,8210
402,40,6744
403,40,3678
404,40,3130
405,40,423
406,40,1358
407,40,2827
408,40,7207
409,40,6769
410,41,7988
411,41,4458
412,41,4390
413,41,3327
414,41,3911
415,41,6925
416,41,583
417,41,1579
418,41,5757
419,41,5898
420,42,3190
421,42,8476
422,42,5126
423,42,6182
424,42,1368
425,42,4702
426,42,3469
427,42,8943
428,42,5691
429,42,9023
430,43,5193
431,43,4209
432,43,1612
433,43,1075
434,43,7996
435,43,5628
436,43,2123
437,43,2550
438,43,1777
439,43,8415
440,44,1325
441,44,4351
442,44,992
443,44,465
444,44,4766
445,44,3421
446,44,7754
447,44,6603
448,44,6913
449,44,429
450,45,6309
451,45,7656
452,45,3811
453,45,8145
454,45,1027
455,45,7211
456,45,3264
457,45,147
458,45,7820
459,45,3316
460,46,496
461,46,5908
462,46,1799
463,46,6985
464,46,4543
465,46,5452
466,46,9375
467,46,8317
468,46,1709
469,46,6706
470,47,8978
471,47,6396
472,47,7176
473,47,8105
474,47,4142
475,47,1898
476,47,3002
477,47,6335
478,47,4698
479,47,6618
480,48,129
481,48,9585
482,48,4513
483,48,7748
484,48,5647
485,48,3947
486,48,8608
487,48,342
488,48,5130
489,48,1865
490,49,3467
491,49,5934
492,49,9628
493,49,7961
494,49,1249
495,49,9380
496,49,6576
497,49,3300
498,49,4375
499,49,1469
500,50,5028
501,50,732
502,50,1504
503,50,3703
504,50,7511
505,50,1068
506,50,5023
507,50,7237
508,50,8696
509,50,6752
510,51,5245
511,51,2592
512,51,3920
513,51,7072
514,51,2252
515,51,8613
516,51,2188
517,51,7845
518,51,5560
519,51,5283
520,52,6941
521,52,949
522,52,6095
523,52,4843
524,52,2773
525,52,6932
526,52,28
527,52,7860
528,52,4011
529,52,5984
530,53,1068
531,53,247
532,53,2179
533,53,6383
534,53,2085
535,53,7511
536,53,1990
537,53,6394
538,53,5929
539,53,6325
540,54,7805
541,54,7004
542,54,5342
543,54,6383
544,54,3850
545,54,4937
546,54,5689
547,54,8696
548,54,6778
549,54,8454
550,55,4925
551,55,4762
552,55,4618
553,55,1359
554,55,7169
555,55,7822
556,55,9161
557,55,9597
558,55,2413
559,55,7034
560,56,5028
561,56,8032
562,56,3426
563,56,7643
564,56,1068
565,56,5929
566,56,1753
567,56,5162
568,56,9460
569,56,6908
570,57,3485
571,57,3906
572,57,5501
573,57,9176
574,57,4339
575,57,7688
576,57,4336
577,57,7959
578,57,761
579,57,8444
580,58,5249
581,58,2850
582,58,7688
583,58,3698
584,58,959
585,58,7156
586,58,7095
587,58,961
588,58,385
589,58,6883
590,59,8880
591,59,3173
592,59,5157
593,59,1372
594,59,5863
595,59,9199
596,59,37
597,59,7529
598,59,5413
599,59,3095
600,60,1470
601,60,7386
602,60,58
603,60,5793
604,60,322
605,60,2608
606,60,9073
607,60,7344
608,60,5364
609,60,154
610,61,3802
611,61,4323
612,61,6594
613,61,1014
614,61,3859
615,61,3666
616,61,8389
617,61,6305
618,61,3965
619,61,9461
620,62,4194
621,62,9505
622,62,6499
623,62,3627
624,62,3083
625,62,7627
626,62,1989
627,62,551
628,62,7754
629,62,5132
630,63,7076
631,63,6980
632,63,5089
633,63,5855
634,63,1326
635,63,4837
636,63,3437
637,63,142
638,63,1394
639,63,8118
640,64,9342
641,64,9016
642,64,646
643,64,713
644,64,7329
645,64,8275
646,64,354
647,64,7968
648,64,1598
649,64,400
650,65,1068
651,65,2927
652,65,9405
653,65,5260
654,65,995
655,65,4900
656,65,9176
657,65,240
658,65,963
659,65,3485
660,66,7662
661,66,6269
662,66,8757
663,66,2248
664,66,8984
665,66,4732
666,66,6649
667,66,2026
668,66,3964
669,66,4465
670,67,965
671,67,6429
672,67,6354
673,67,150
674,67,6383
675,67,7210
676,67,4666
677,67,1897
678,67,9614
679,67,1610
680,68,5762
681,68,7581
682,68,7580
683,68,3615
684,68,4441
685,68,4770
686,68,3185
687,68,7093
688,68,1748
689,68,3570
690,69,3011
691,69,2612
692,69,1468
693,69,9125
694,69,5490
695,69,7451
696,69,2112
697,69,7361
698,69,3485
699,69,5637
700,70,217
701,70,2918
702,70,319
703,70,849
704,70,6014
705,70,5821
706,70,6490
707,70,6326
708,70,2652
709,70,6309
710,71,6792
711,71,9262
712,71,5028
713,71,3225
714,71,3523
715,71,4904
716,71,5051
717,71,7869
718,71,1480
719,71,3269
720,72,2860
721,72,2622
722,72,3409
723,72,5507
724,72,773
725,72,5890
726,72,9147
727,72,3960
728,72,1047
729,72,6294
730,73,3506
731,73,1280
732,73,4010
733,73,5326
734,73,7326
735,73,5698
736,73,8266
737,73,7841
738,73,6357
739,73,8867
740,74,1852
741,74,453
742,74,1861
743,74,6845
744,74,6849
745,74,6112
746,74,7769
747,74,1428
748,74,6925
749,74,1353
750,75,410
751,75,6563
752,75,8381
753,75,8533
754,75,4379
755,75,6404
756,75,3818
757,75,9045
758,75,7878
759,75,6594
760,76,3090
761,76,1799
762,76,1082
763,76,5708
764,76,4543
765,76,3393
766,76,1273
767,76,6305
768,76,1711
769,76,261
770,77,9355
771,77,948
772,77,496
773,77,516
774,77,6617
775,77,8358
776,77,117
777,77,8056
778,77,3358
779,77,6194
780,78,946
781,78,6031
782,78,3534
783,78,9303
784,78,5729
785,78,4318
786,78,6101
787,78,1831
788,78,3995
789,78,9542
790,79,5802
791,79,5594
792,79,8350
793,79,2980
794,79,5231
795,79,6392
796,79,6730
797,79,5267
798,79,236
799,79,1571
800,80,7513
801,80,7403
802,80,7273
803,80,5370
804,80,5120
805,80,8981
806,80,7787
807,80,9450
808,80,8956
809,80,3325
810,81,3780
811,81,1740
812,81,5723
813,81,3799
814,81,1283
815,81,3807
816,81,499
817,81,4609
818,81,6257
819,81,3969
820,82,7920
821,82,2564
822,82,4254
823,82,518
824,82,3459
825,82,4481
826,82,1894
827,82,5598
828,82,4471
829,82,3587
830,83,3033
831,83,1389
832,83,3741
833,83,6356
834,83,1085
835,83,7054
836,83,2134
837,83,2532
838,83,8966
839,83,6447
840,84,6677
841,84,8728
842,84,3970
843,84,7852
844,84,4054
845,84,3470
846,84,6329
847,84,5138
848,84,777
849,84,8764
850,85,3703
851,85,1917
852,85,5317
853,85,8996
854,85,4007
855,85,8127
856,85,8696
857,85,5119
858,85,6919
859,85,2649
860,86,5267
861,86,5626
862,86,6147
863,86,5802
864,86,3162
865,86,2039
866,86,1816
867,86,3759
868,86,5688
869,86,7126
870,87,7347
871,87,7458
872,87,2268
873,87,2875
874,87,5237
875,87,2822
876,87,5258
877,87,5247
878,87,5639
879,87,6621
880,88,117
881,88,330
882,88,496
883,88,9531
884,88,1613
885,88,5464
886,88,675
887,88,1437
888,88,878
889,88,5222
890,89,4919
891,89,4727
892,89,4768
893,89,4999
894,89,9258
895,89,2180
896,89,7323
897,89,8467
898,89,2382
899,89,7093
900,90,9
901,90,2418
902,90,5576
903,90,2263
904,90,1062
905,90,1110
906,90,7932
907,90,135
908,90,5540
909,90,2932
910,91,9325
911,91,8957
912,91,2550
913,91,1777
914,91,980
915,91,7893
916,91,412
917,91,9162
918,91,9121
919,91,5831
920,92,145
921,92,2282
922,92,9441
923,92,5225
924,92,5349
925,92,8429
926,92,7868
927,92,4298
928,92,4807
929,92,7014
930,93,3349
931,93,9479
932,93,4506
933,93,5325
934,93,21
935,93,554
936,93,496
937,93,7255
938,93,9217
939,93,289
940,94,3117
941,94,9498
942,94,4855
943,94,5372
944,94,1171
945,94,8748
946,94,3026
947,94,6851
948,94,4243
949,94,2365
950,95,9239
951,95,7956
952,95,9478
953,95,3834
954,95,3620
955,95,4951
956,95,6932
957,95,3508
958,95,5588
959,95,2541
960,96,1027
961,96,7671
962,96,5722
963,96,1998
964,96,6336
965,96,4947
966,96,5411
967,96,190
968,96,6309
969,96,8703
970,97,4
971,97,7169
972,97,6176
973,97,612
974,97,9336
975,97,2960
976,97,5849
977,97,7047
978,97,5166
979,97,8783
980,98,1582
981,98,7084
982,98,825
983,98,9505
984,98,3497
985,98,5227
986,98,6733
987,98,2420
988,98,6222
989,98,5823
990,99,3040
991,99,2320
992,99,2512
993,99,3631
994,99,4552
995,99,8480
996,99,5073
997,99,7996
998,99,2670
999,99,5290
1000,100,1799
1001,100,3127
1002,100,496
1003,100,5896
1004,100,2420
1005,100,7682
1006,100,2130
1007,100,117
1008,100,3353
1009,100,8760
1010,101,4464
1011,101,2980
1012,101,5754
1013,101,7628
1014,101,2600
1015,101,5633
1016,101,4485
1017,101,6730
1018,101,2322
1019,101,7458
1020,102,6797
1021,102,8519
1022,102,3625
1023,102,1251
1024,102,375
1025,102,4040
1026,102,9514
1027,102,2438
1028,102,2311
1029,102,4061
1030,103,6598
1031,103,2162
1032,103,8280
1033,103,5770
1034,103,2368
1035,103,2093
1036,103,5597
1037,103,2365
1038,103,3819
1039,103,3549
1040,104,1675
1041,104,9599
1042,104,4111
1043,104,2762
1044,104,983
1045,104,1275
1046,104,3802
1047,104,61
1048,104,7122
1049,104,4792
1050,105,5938
1051,105,280
1052,105,1249
1053,105,8587
1054,105,540
1055,105,7683
1056,105,5235
1057,105,8204
1058,105,7925
1059,105,7604
1060,106,154
1061,106,7344
1062,106,1752
1063,106,7608
1064,106,5364
1065,106,3723
1066,106,6383
1067,106,965
1068,106,3832
1069,106,9032
1070,107,7569
1071,107,4727
1072,107,8580
1073,107,5936
1074,107,7079
1075,107,7115
1076,107,8188
1077,107,2830
1078,107,668
1079,107,7489
1080,108,9291
1081,108,9505
1082,108,3358
1083,108,2431
1084,108,551
1085,108,3169
1086,108,4329
1087,108,1126
1088,108,6083
1089,108,3090
1090,109,199
1091,109,3726
1092,109,7216
1093,109,4417
1094,109,5906
1095,109,6434
1096,109,1200
1097,109,5751
1098,109,2593
1099,109,151
1100,110,2558
1101,110,5863
1102,110,6558
1103,110,8781
1104,110,820
1105,110,371
1106,110,5740
1107,110,1467
1108,110,3722
1109,110,5189
1110,111,9087
1111,111,1518
1112,111,1686
1113,111,3127
1114,111,1288
1115,111,8707
1116,111,2005
1117,111,7385
1118,111,4526
1119,111,7928
1120,112,1241
1121,112,8503
1122,112,200
1123,112,8350
1124,112,6984
1125,112,5154
1126,112,6495
1127,112,1993
1128,112,6362
1129,112,4320
1130,113,8128
1131,113,2624
1132,113,7156
1133,113,5228
1134,113,2282
1135,113,6033
1136,113,1548
1137,113,6692
1138,113,959
1139,113,5155
1140,114,1895
1141,114,4
1142,114,357
1143,114,258
1144,114,1746
1145,114,6716
1146,114,4348
1147,114,4617
1148,114,9336
1149,114,5623
1150,115,1358
1151,115,5631
1152,115,3130
1153,115,3335
1154,115,8883
1155,115,4909
1156,115,1026
1157,115,2044
1158,115,6744
1159,115,9183
1160,116,2918
1161,116,2327
1162,116,3327
1163,116,7389
1164,116,8343
1165,116,3966
1166,116,143
1167,116,8703
1168,116,9349
1169,116,7625
1170,117,1799
1171,117,496
1172,117,9375
1173,117,1437
1174,117,8056
1175,117,675
1176,117,514
1177,117,4526
1178,117,4977
1179,117,6507
1180,118,4785
1181,118,7748
1182,118,6328
1183,118,1116
1184,118,1866
1185,118,9147
1186,118,370
1187,118,4379
1188,118,3350
1189,118,516
1190,119,493
1191,119,6474
1192,119,4085
1193,119,7867
1194,119,4092
1195,119,1190
1196,119,1218
1197,119,9161
1198,119,1379
1199,119,6667
1200,120,623
1201,120,6674
1202,120,1190
1203,120,117
1204,120,9583
1205,120,2520
1206,120,1437
1207,120,1613
1208,120,7530
1209,120,3372
1210,121,1804
1211,121,9446
1212,121,8608
1213,121,5348
1214,121,6090
1215,121,1784
1216,121,826
1217,121,3883
1218,121,2104
1219,121,2413
1220,122,5146
1221,122,8012
1222,122,5129
1223,122,7688
1224,122,5177
1225,122,378
1226,122,223
1227,122,5317
1228,122,1435
1229,122,2927
1230,123,6625
1231,123,5269
1232,123,1526
1233,123,7538
1234,123,3898
1235,123,2267
1236,123,6614
1237,123,2068
1238,123,2221
1239,123,7145
1240,124,54
1241,124,327
1242,124,6869
1243,124,3703
1244,124,10
1245,124,2438
1246,124,1897
1247,124,8341
1248,124,8886
1249,124,1917
1250,125,8169
1251,125,5261
1252,125,8492
1253,125,2592
1254,125,5288
1255,125,7983
1256,125,8315
1257,125,5279
1258,125,5273
1259,125,2977
1260,126,3463
1261,126,3687
1262,126,3531
1263,126,2382
1264,126,4919
1265,126,68
1266,126,7039
1267,126,5191
1268,126,6232
1269,126,4999
1270,127,2279
1271,127,8823
1272,127,2476
1273,127,6331
1274,127,2448
1275,127,909
1276,127,145
1277,127,2728
1278,127,1626
1279,127,9476
1280,128,7959
1281,128,206
1282,128,245
1283,128,9073
1284,128,6218
1285,128,6141
1286,128,512
1287,128,3832
1288,128,595
1289,128,5654
1290,129,4851
1291,129,7571
1292,129,9628
1293,129,261
1294,129,7318
1295,129,4595
1296,129,3686
1297,129,5130
1298,129,6437
1299,129,5325
1300,130,5657
1301,130,682
1302,130,371
1303,130,4322
1304,130,615
1305,130,1878
1306,130,5873
1307,130,4654
1308,130,8041
1309,130,4041
1310,131,3057
1311,131,6774
1312,131,1047
1313,131,6299
1314,131,3690
1315,131,556
1316,131,21
1317,131,996
1318,131,7867
1319,131,6896
1320,132,2586
1321,132,8506
1322,132,5104
1323,132,2243
1324,132,137
1325,132,19
1326,132,4321
1327,132,3383
1328,132,9510
1329,132,43
1330,133,8243
1331,133,5296
1332,133,475
1333,133,5605
1334,133,3767
1335,133,29
1336,133,6475
1337,133,7866
1338,133,5740
1339,133,9283
1340,134,2155
1341,134,4478
1342,134,2613
1343,134,272
1344,134,499
1345,134,2618
1346,134,2
1347,134,4330
1348,134,6883
1349,134,8683
1350,135,2607
1351,135,2263
1352,135,90
1353,135,1329
1354,135,2882
1355,135,7417
1356,135,1110
1357,135,1737
1358,135,3432
1359,135,3568
1360,136,1846
1361,136,322
1362,136,8482
1363,136,1506
1364,136,4373
1365,136,9112
1366,136,3069
1367,136,285
1368,136,1530
1369,136,6927
1370,137,771
1371,137,6434
1372,137,3211
1373,137,5412
1374,137,43
1375,137,4458
1376,137,4287
1377,137,3631
1378,137,9510
1379,137,3308
1380,138,9307
1381,138,3294
1382,138,8329
1383,138,5631
1384,138,1358
1385,138,6905
1386,138,1000
1387,138,9166
1388,138,5137
1389,138,3583
1390,139,4464
1391,139,5802
1392,139,1571
1393,139,4465
1394,139,1512
1395,139,6569
1396,139,4485
1397,139,5231
1398,139,8348
1399,139,2978
1400,140,2788
1401,140,7089
1402,140,3895
1403,140,4417
1404,140,8913
1405,140,2819
1406,140,6828
1407,140,5506
1408,140,5073
1409,140,5760
1410,141,7387
1411,141,533
1412,141,6543
1413,141,3828
1414,141,652
1415,141,1909
1416,141,2471
1417,141,7582
1418,141,4240
1419,141,3531
1420,142,1334
1421,142,7589
1422,142,3437
1423,142,2922
1424,142,1573
1425,142,5239
1426,142,4899
1427,142,504
1428,142,144
1429,142,3992
1430,143,5768
1431,143,5401
1432,143,6180
1433,143,3960
1434,143,3686
1435,143,6823
1436,143,7169
1437,143,2617
1438,143,7385
1439,143,3344
1440,144,504
1441,144,193
1442,144,317
1443,144,6501
1444,144,3
1445,144,9027
1446,144,8838
1447,144,4273
1448,144,7325
1449,144,6036
1450,145,7156
1451,145,5349
1452,145,2279
1453,145,9038
1454,145,2448
1455,145,5298
1456,145,3364
1457,145,246
1458,145,1548
1459,145,2215
1460,146,9215
1461,146,4951
1462,146,222
1463,146,9393
1464,146,6506
1465,146,5832
1466,146,3401
1467,146,3467
1468,146,2518
1469,146,6215
1470,147,6309
1471,147,9190
1472,147,163
1473,147,4461
1474,147,7656
1475,147,3811
1476,147,316
1477,147,45
1478,147,1075
1479,147,5965
1480,148,1319
1481,148,7063
1482,148,2586
1483,148,3264
1484,148,1519
1485,148,9325
1486,148,4624
1487,148,6187
1488,148,771
1489,148,5817
1490,149,2345
1491,149,8541
1492,149,4936
1493,149,4327
1494,149,6288
1495,149,7883
1496,149,3674
1497,149,391
1498,149,2681
1499,149,1885
1500,150,1897
1501,150,7511
1502,150,6383
1503,150,54
1504,150,1068
1505,150,511
1506,150,7852
1507,150,7567
1508,150,3621
1509,150,9127
1510,151,9181
1511,151,5380
1512,151,2756
1513,151,19
1514,151,2786
1515,151,2653
1516,151,6209
1517,151,2819
1518,151,1003
1519,151,2692
1520,152,4140
1521,152,2095
1522,152,8036
1523,152,644
1524,152,4250
1525,152,3922
1526,152,7068
1527,152,7500
1528,152,8993
1529,152,6175
1530,153,175
1531,153,9161
1532,153,5600
1533,153,648
1534,153,7613
1535,153,9256
1536,153,1709
1537,153,4718
1538,153,3965
1539,153,6516
1540,154,1548
1541,154,7608
1542,154,5487
1543,154,136
1544,154,961
1545,154,9112
1546,154,4978
1547,154,6110
1548,154,7562
1549,154,4505
1550,155,8639
1551,155,6460
1552,155,3378
1553,155,4049
1554,155,5074
1555,155,1947
1556,155,1194
1557,155,5963
1558,155,734
1559,155,3505
1560,156,3981
1561,156,9406
1562,156,2215
1563,156,9165
1564,156,7020
1565,156,3378
1566,156,8981
1567,156,1896
1568,156,5155
1569,156,2848
1570,157,4025
1571,157,3861
1572,157,7797
1573,157,6451
1574,157,2438
1575,157,5689
1576,157,3108
1577,157,4354
1578,157,7802
1579,157,9514
1580,158,7981
1581,158,3749
1582,158,3214
1583,158,9402
1584,158,7027
1585,158,4329
1586,158,6242
1587,158,8526
1588,158,3425
1589,158,5912
1590,159,4899
1591,159,7229
1592,159,213
1593,159,5237
1594,159,3992
1595,159,144
1596,159,1445
1597,159,9126
1598,159,1573
1599,159,2820
1600,160,7840
1601,160,4567
1602,160,517
1603,160,1682
1604,160,1564
1605,160,5628
1606,160,1638
1607,160,5676
1608,160,4915
1609,160,1570
1610,161,1821
1611,161,1279
1612,161,7089
1613,161,3264
1614,161,8110
1615,161,9286
1616,161,5789
1617,161,4173
1618,161,2786
1619,161,6143
1620,162,8823
1621,162,8713
1622,162,2850
1623,162,1618
1624,162,3292
1625,162,1548
1626,162,6033
1627,162,9127
1628,162,7160
1629,162,8128
1630,163,8636
1631,163,204
1632,163,7656
1633,163,147
1634,163,9190
1635,163,3487
1636,163,6064
1637,163,5965
1638,163,8088
1639,163,6524
1640,164,10
1641,164,988
1642,164,7120
1643,164,8287
1644,164,1068
1645,164,6325
1646,164,54
1647,164,5028
1648,164,6429
1649,164,1413
1650,165,9289
1651,165,5139
1652,165,697
1653,165,1116
1654,165,6507
1655,165,9603
1656,165,3349
1657,165,1325
1658,165,7084
1659,165,9390
1660,166,4536
1661,166,402
1662,166,8949
1663,166,4968
1664,166,8481
1665,166,2377
1666,166,3997
1667,166,5706
1668,166,1774
1669,166,7795
1670,167,4173
1671,167,271
1672,167,3651
1673,167,6102
1674,167,6554
1675,167,4558
1676,167,5601
1677,167,958
1678,167,6240
1679,167,7965
1680,168,8420
1681,168,6828
1682,168,3283
1683,168,2272
1684,168,4417
1685,168,1052
1686,168,4049
1687,168,2677
1688,168,693
1689,168,7247
1690,169,26
1691,169,3318
1692,169,8377
1693,169,8351
1694,169,9077
1695,169,5015
1696,169,6147
1697,169,6495
1698,169,2322
1699,169,8740
1700,170,5028
1701,170,2127
1702,170,8127
1703,170,1917
1704,170,8655
1705,170,600
1706,170,9460
1707,170,7940
1708,170,6429
1709,170,5620
1710,171,4871
1711,171,6911
1712,171,209
1713,171,3181
1714,171,3241
1715,171,5194
1716,171,7601
1717,171,2707
1718,171,9624
1719,171,8186
1720,172,5985
1721,172,1749
1722,172,4017
1723,172,6981
1724,172,3190
1725,172,718
1726,172,3192
1727,172,4235
1728,172,6502
1729,172,885
1730,173,6829
1731,173,3470
1732,173,2679
1733,173,1068
1734,173,9127
1735,173,7408
1736,173,7787
1737,173,5791
1738,173,9173
1739,173,2282
1740,174,6260
1741,174,7712
1742,174,7944
1743,174,3086
1744,174,1242
1745,174,7468
1746,174,998
1747,174,8752
1748,174,5090
1749,174,8094
1750,175,9411
1751,175,7613
1752,175,6733
1753,175,7906
1754,175,6674
1755,175,9505
1756,175,323
1757,175,6603
1758,175,6222
1759,175,6791
1760,176,3522
1761,176,79
1762,176,7441
1763,176,5049
1764,176,8171
1765,176,8094
1766,176,5259
1767,176,3622
1768,176,1616
1769,176,4688
1770,177,225
1771,177,745
1772,177,154
1773,177,424
1774,177,3792
1775,177,3735
1776,177,208
1777,177,1267
1778,177,8099
1779,177,8994
1780,178,883
1781,178,9395
1782,178,6673
1783,178,4659
1784,178,2477
1785,178,9212
1786,178,7769
1787,178,2523
1788,178,4539
1789,178,3068
1790,179,2616
1791,179,5930
1792,179,3293
1793,179,5798
1794,179,4485
1795,179,4985
1796,179,7523
1797,179,1887
1798,179,8503
1799,179,3261
1800,180,5572
1801,180,2293
1802,180,5289
1803,180,5571
1804,180,8590
1805,180,5546
1806,180,7854
1807,180,6167
1808,180,5253
1809,180,5238
1810,181,4613
1811,181,6753
1812,181,5488
1813,181,3363
1814,181,7047
1815,181,9217
1816,181,8262
1817,181,2755
1818,181,3417
1819,181,8010
1820,182,2667
1821,182,898
1822,182,575
1823,182,2515
1824,182,8731
1825,182,3885
1826,182,5981
1827,182,2710
1828,182,7691
1829,182,1199
1830,183,7701
1831,183,1023
1832,183,3083
1833,183,5062
1834,183,1683
1835,183,3169
1836,183,8526
1837,183,6406
1838,183,6270
1839,183,1466
1840,184,9245
1841,184,8934
1842,184,218
1843,184,5841
1844,184,5888
1845,184,8653
1846,184,8655
1847,184,9089
1848,184,5897
1849,184,3897
1850,185,5953
1851,185,2757
1852,185,1682
1853,185,387
1854,185,2706
1855,185,6506
1856,185,5781
1857,185,4967
1858,185,2474
1859,185,3634
1860,186,2179
1861,186,3065
1862,186,1251
1863,186,8406
1864,186,5020
1865,186,4040
1866,186,2668
1867,186,4025
1868,186,999
1869,186,4576
1870,187,9203
1871,187,5218
1872,187,5109
1873,187,2813
1874,187,1303
1875,187,1467
1876,187,5121
1877,187,1703
1878,187,5174
1879,187,7529
1880,188,5208
1881,188,2379
1882,188,6031
1883,188,9020
1884,188,7694
1885,188,3762
1886,188,6369
1887,188,3571
1888,188,6562
1889,188,1583
1890,189,9246
1891,189,3792
1892,189,3400
1893,189,5031
1894,189,6331
1895,189,3298
1896,189,6110
1897,189,6028
1898,189,7821
